Sno;Date;Province/State;Country;Last Update;Confirmed;Deaths;Recovered
1;01/22/2020 12:00:00;Anhui;China;01/22/2020 12:00:00;1;0;0
2;01/22/2020 12:00:00;Beijing;China;01/22/2020 12:00:00;14;0;0
3;01/22/2020 12:00:00;Chongqing;China;01/22/2020 12:00:00;6;0;0
4;01/22/2020 12:00:00;Fujian;China;01/22/2020 12:00:00;1;0;0
5;01/22/2020 12:00:00;Gansu;China;01/22/2020 12:00:00;0;0;0
6;01/22/2020 12:00:00;Guangdong;China;01/22/2020 12:00:00;26;0;0
7;01/22/2020 12:00:00;Guangxi;China;01/22/2020 12:00:00;2;0;0
8;01/22/2020 12:00:00;Guizhou;China;01/22/2020 12:00:00;1;0;0
9;01/22/2020 12:00:00;Hainan;China;01/22/2020 12:00:00;4;0;0
10;01/22/2020 12:00:00;Hebei;China;01/22/2020 12:00:00;1;0;0
11;01/22/2020 12:00:00;Heilongjiang;China;01/22/2020 12:00:00;0;0;0
12;01/22/2020 12:00:00;Henan;China;01/22/2020 12:00:00;5;0;0
13;01/22/2020 12:00:00;Hong Kong;China;01/22/2020 12:00:00;0;0;0
14;01/22/2020 12:00:00;Hubei;China;01/22/2020 12:00:00;444;0;0
15;01/22/2020 12:00:00;Hunan;China;01/22/2020 12:00:00;4;0;0
16;01/22/2020 12:00:00;Inner Mongolia;China;01/22/2020 12:00:00;0;0;0
17;01/22/2020 12:00:00;Jiangsu;China;01/22/2020 12:00:00;1;0;0
18;01/22/2020 12:00:00;Jiangxi;China;01/22/2020 12:00:00;2;0;0
19;01/22/2020 12:00:00;Jilin;China;01/22/2020 12:00:00;0;0;0
20;01/22/2020 12:00:00;Liaoning;China;01/22/2020 12:00:00;2;0;0
21;01/22/2020 12:00:00;Macau;China;01/22/2020 12:00:00;1;0;0
22;01/22/2020 12:00:00;Ningxia;China;01/22/2020 12:00:00;1;0;0
23;01/22/2020 12:00:00;Qinghai;China;01/22/2020 12:00:00;0;0;0
24;01/22/2020 12:00:00;Shaanxi;China;01/22/2020 12:00:00;0;0;0
25;01/22/2020 12:00:00;Shandong;China;01/22/2020 12:00:00;2;0;0
26;01/22/2020 12:00:00;Shanghai;China;01/22/2020 12:00:00;9;0;0
27;01/22/2020 12:00:00;Shanxi;China;01/22/2020 12:00:00;1;0;0
28;01/22/2020 12:00:00;Sichuan;China;01/22/2020 12:00:00;5;0;0
29;01/22/2020 12:00:00;Taiwan;China;01/22/2020 12:00:00;1;0;0
30;01/22/2020 12:00:00;Tianjin;China;01/22/2020 12:00:00;4;0;0
31;01/22/2020 12:00:00;Tibet;China;01/22/2020 12:00:00;0;0;0
33;01/22/2020 12:00:00;Xinjiang;China;01/22/2020 12:00:00;0;0;0
34;01/22/2020 12:00:00;Yunnan;China;01/22/2020 12:00:00;1;0;0
35;01/22/2020 12:00:00;Zhejiang;China;01/22/2020 12:00:00;10;0;0
82;01/23/2020 12:00:00;NA;Mexico;01/23/2020 12:00:00;0;0;0
