edad,sexo,alfabeto,sistema_salud,nivel_educativo,ocupacion_jerarquia,estado_civil,ingreso_15k
23,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Director,3,no
58,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
27,mujer,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
32,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,2,no
65,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
28,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,4,no
40,hombre,No,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
43,mujer,No,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
42,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
NA,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,2,no
39,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
53,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
44,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,2,si
26,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,3,no
36,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,4,si
47,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,1,no
37,mujer,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,4,no
27,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,3,no
41,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
58,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,no
39,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,1,si
43,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,1,si
68,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,3,no
40,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,4,no
74,hombre,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,5,no
54,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
68,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
39,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,4,no
73,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
61,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,2,no
40,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,no
42,hombre,Si,No paga ni le descuentan,Secundaria Completa,Cuenta propia,1,no
69,mujer,Si,Obra social (incluye PAMI),Primaria Completa,Cuenta propia,1,no
56,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,4,no
25,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,3,no
28,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,4,no
45,mujer,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,2,no
43,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,1,no
59,hombre,Si,No paga ni le descuentan,Primaria Incompleta(incluye educación especial),Cuenta propia,1,no
52,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,1,no
60,hombre,Si,Mutual / Prepaga / Servicio de emergencia,Secundaria Incompleta,Cuenta propia,1,no
36,hombre,Si,No paga ni le descuentan,Superior Universitaria Incompleta,Cuenta propia,3,no
65,hombre,Si,No paga ni le descuentan,Primaria Completa,Cuenta propia,1,si
63,hombre,Si,Obra social (incluye PAMI),Primaria Incompleta(incluye educación especial),Cuenta propia,2,no
53,hombre,Si,Obra social (incluye PAMI),Secundaria Completa,Cuenta propia,1,no
55,mujer,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Director,2,no
43,hombre,Si,No paga ni le descuentan,Secundaria Incompleta,Cuenta propia,4,no
59,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Completa,Cuenta propia,1,si
NA,hombre,Si,Obra social (incluye PAMI),Superior Universitaria Incompleta,Cuenta propia,2,si
31,hombre,Si,Obra social (incluye PAMI),Secundaria Incompleta,Cuenta propia,1,no
