hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,161,2016,October,41,2,2,3,3,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,7,NULL,0,Transient,108.8,0,2,Check-Out,2016-10-07
Resort Hotel,0,2,2017,February,7,15,0,2,1,0,0,BB,NULL,Corporate,TA/TO,0,0,2,A,D,0,No Deposit,NULL,356,0,Transient,35,0,0,Check-Out,2017-02-17
City Hotel,0,20,2016,March,14,28,1,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,215,0,2,Check-Out,2016-04-02
City Hotel,1,141,2017,June,26,27,2,5,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,130,0,0,Canceled,2017-02-06
Resort Hotel,1,312,2017,June,26,26,1,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,80.1,0,1,Canceled,2016-09-07
City Hotel,0,51,2017,March,10,11,2,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,NULL,0,Transient,75,0,0,Check-Out,2017-03-16
City Hotel,1,98,2016,April,15,9,2,2,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,86.7,0,1,Canceled,2016-01-10
City Hotel,1,422,2017,June,24,13,0,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,229,NULL,0,Transient,90,0,0,Canceled,2017-05-05
City Hotel,1,66,2017,March,13,28,0,5,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,96.84,0,0,Canceled,2017-03-15
City Hotel,1,344,2017,July,30,24,1,5,2,0,0,SC,HUN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,1,Canceled,2016-11-20
City Hotel,0,9,2016,November,47,16,0,1,1,0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,95,0,0,Check-Out,2016-11-17
City Hotel,0,1,2016,June,27,28,0,1,1,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,127,0,1,Check-Out,2016-06-29
City Hotel,0,65,2017,January,2,12,0,2,1,0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,NULL,366,0,Transient-Party,65,0,0,Check-Out,2017-01-14
City Hotel,0,116,2016,February,10,28,2,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient-Party,82,0,0,Check-Out,2016-03-02
City Hotel,0,29,2017,April,15,10,1,1,2,0,0,HB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14,NULL,0,Transient,175,0,1,Check-Out,2017-04-12
City Hotel,1,447,2016,September,40,29,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,62,0,0,Canceled,2015-10-21
City Hotel,1,99,2015,October,44,30,2,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3,NULL,0,Transient,65,0,0,Canceled,2015-10-12
Resort Hotel,0,5,2016,October,44,26,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,66,1,1,Check-Out,2016-10-27
City Hotel,0,247,2016,June,24,6,1,1,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,NULL,0,Transient-Party,115,0,1,Check-Out,2016-06-08
